year,month,E_index,C_index
1958,7,0.0085,0.02324
1958,8,-0.09014,0.02634
1958,9,-0.37679,-0.01605
1958,10,-0.43755,0.12988
1958,11,-0.25501,0.1847
1958,12,-0.53536,0.29
1959,1,-0.36636,0.54293
1959,2,-0.03235,0.10811
1959,3,0.2886,-0.26669
1959,4,0.05774,-0.03852
1959,5,-0.40348,-0.04711
1959,6,-0.45933,-0.31775
1959,7,-0.53914,-0.66062
1959,8,-0.81351,-0.39024
1959,9,-0.46226,-0.5488
1959,10,-0.13546,-0.53418
1959,11,0.08108,-0.96703
1959,12,-0.12284,-0.71258
1960,1,0.12536,-0.82669
1960,2,-0.01964,-0.88248
1960,3,0.12564,-0.72545
1960,4,-0.29798,-0.52132
1960,5,-0.52812,-0.36531
1960,6,-0.69224,-0.55561
1960,7,-0.48069,-0.64673
1960,8,-0.20518,-0.57969
1960,9,0.25728,-0.86306
1960,10,-0.58587,-0.63454
1960,11,-0.81666,-0.47879
1960,12,-0.65457,-0.1588
1961,1,-0.29816,-0.3973
1961,2,0.36285,-0.67938
1961,3,-0.13104,-0.6819
1961,4,0.14942,-0.91864
1961,5,-0.13511,-0.64728
1961,6,-0.29272,-0.4089
1961,7,-1.00747,-0.56081
1961,8,-0.70193,-0.96341
1961,9,-1.13948,-0.83675
1961,10,-0.87476,-1.10541
1961,11,-0.46801,-0.87755
1961,12,-0.4974,-0.79802
1962,1,-0.4123,-0.84782
1962,2,-0.22209,-0.8021
1962,3,-1.14765,-0.3091
1962,4,-1.52089,-0.40257
1962,5,-0.88767,-0.97795
1962,6,-0.98599,-0.65525
1962,7,-0.67422,-0.78971
1962,8,-0.19187,-0.90485
1962,9,-0.38923,-1.04423
1962,10,-0.65891,-0.99058
1962,11,-0.66612,-1.04667
1962,12,-0.85594,-1.04808
1963,1,-0.41449,-1.03348
1963,2,-0.48161,-0.66593
1963,3,-0.45319,-0.16455
1963,4,-0.58537,-0.03205
1963,5,-0.20832,-0.50835
1963,6,0.03144,-0.57286
1963,7,0.37744,-0.13987
1963,8,0.49172,0.08433
1963,9,0.19128,0.45156
1963,10,0.20571,0.51512
1963,11,0.40553,0.29579
1963,12,0.4789,0.31772
1964,1,-0.07008,0.48649
1964,2,-0.66125,0.32404
1964,3,-0.60978,-0.45018
1964,4,-1.48914,-0.49872
1964,5,-2.27822,-0.36446
1964,6,-1.44505,-1.04683
1964,7,-0.99,-1.09559
1964,8,-1.08313,-1.56117
1964,9,-0.18638,-2.20034
1964,10,-0.46218,-1.99205
1964,11,-0.10757,-2.32192
1964,12,-0.69262,-2.01986
1965,1,-0.25056,-1.48674
1965,2,0.05173,-1.05042
1965,3,0.3463,-1.03367
1965,4,1.17634,-1.52189
1965,5,1.31256,-0.92819
1965,6,1.14496,-0.42288
1965,7,1.18508,-0.13447
1965,8,1.53145,-0.02898
1965,9,1.10864,0.27731
1965,10,0.87019,0.87623
1965,11,1.13225,0.73833
1965,12,1.06799,0.65473
1966,1,0.85821,0.66694
1966,2,-0.08599,0.87499
1966,3,-1.24214,1.64265
1966,4,-1.11116,0.90351
1966,5,-1.57097,0.45127
1966,6,-1.27079,0.42653
1966,7,-1.05894,0.49233
1966,8,-0.93031,0.03694
1966,9,-0.99549,-0.04663
1966,10,-0.82029,-0.08244
1966,11,-1.19854,0.0778
1966,12,-0.98704,-0.43843
1967,1,-0.59246,-0.75104
1967,2,-0.1239,-1.00375
1967,3,-0.8974,-0.52719
1967,4,-1.19555,-0.3254
1967,5,-0.85998,-0.11694
1967,6,-0.59542,-0.28261
1967,7,-0.76882,-0.29747
1967,8,-1.21799,-0.30522
1967,9,-1.72287,-0.34268
1967,10,-1.66923,-0.29472
1967,11,-1.5447,-0.16712
1967,12,-1.53798,-0.23625
1968,1,-1.62823,-0.35131
1968,2,-1.68755,-0.38907
1968,3,-1.59543,-0.53946
1968,4,-1.34399,-0.36415
1968,5,-1.49901,-0.46066
1968,6,-1.16848,0.30054
1968,7,-0.14224,-0.25915
1968,8,0.02979,-0.25221
1968,9,0.22438,-0.38426
1968,10,-0.07885,-0.11269
1968,11,-0.31615,0.5963
1968,12,-0.08166,0.81827
1969,1,-0.45531,1.54534
1969,2,-0.85604,1.8605
1969,3,-0.10975,0.86093
1969,4,0.21025,0.39619
1969,5,0.78345,0.10691
1969,6,0.71197,-0.3167
1969,7,0.24399,-0.37451
1969,8,0.07039,0.1116
1969,9,0.04528,0.50004
1969,10,0.39528,0.50248
1969,11,0.46222,0.35228
1969,12,0.60217,0.19082
1970,1,0.39905,0.12943
1970,2,-0.40186,0.41591
1970,3,-0.83501,0.14611
1970,4,-0.70978,0.10858
1970,5,-1.41815,0.19107
1970,6,-1.73175,-0.11244
1970,7,-2.32895,-0.20926
1970,8,-1.68888,-0.94881
1970,9,-0.93809,-1.36494
1970,10,-0.72153,-1.60588
1970,11,-0.98632,-1.55953
1970,12,-0.56802,-2.07617
1971,1,-0.70423,-2.31929
1971,2,-1.01334,-1.89602
1971,3,-0.73767,-1.77302
1971,4,-0.36038,-1.69492
1971,5,-0.74723,-1.40648
1971,6,-0.89311,-1.46839
1971,7,-0.48937,-1.62747
1971,8,-0.79171,-1.62196
1971,9,-0.41688,-1.86466
1971,10,-0.81035,-1.74836
1971,11,-0.78252,-1.46924
1971,12,-1.25086,-1.15207
1972,1,-0.12735,-1.20344
1972,2,0.04606,-0.70632
1972,3,-0.00182,-0.45999
1972,4,0.18354,-0.06545
1972,5,0.42662,-0.02551
1972,6,1.28188,-0.33134
1972,7,1.91386,-0.1997
1972,8,2.61537,-0.44561
1972,9,1.8629,0.01409
1972,10,1.91249,0.45238
1972,11,2.01887,0.63448
1972,12,2.39291,0.75111
1973,1,1.62943,0.93307
1973,2,0.48341,0.78896
1973,3,-0.12699,0.33087
1973,4,-0.81665,-0.22978
1973,5,-1.27663,-0.38315
1973,6,-1.31004,-0.81918
1973,7,-1.17853,-1.26695
1973,8,-1.0938,-1.59975
1973,9,-0.81547,-1.89405
1973,10,-0.64493,-2.30365
1973,11,-0.47932,-2.72612
1973,12,-0.58552,-2.89212
1974,1,-0.65793,-2.72903
1974,2,-0.5528,-2.07267
1974,3,-0.33984,-1.77434
1974,4,0.00625,-1.81343
1974,5,0.08621,-1.9098
1974,6,-0.20264,-1.6588
1974,7,0.06264,-1.69098
1974,8,0.01639,-1.19557
1974,9,0.00176,-1.49266
1974,10,-0.40808,-1.63979
1974,11,-0.47971,-1.52594
